class,precision,recall,f1,specificity
0,0.6889185580774366,0.8075117370892019,0.7435158501440923,0.7708947885939036
1,0.2541436464088398,0.1554054054054054,0.1928721174004193,0.9007352941176471
2,0.6192468619246861,0.6621923937360179,0.64,0.8494623655913979
3,0.85,0.7623318385650224,0.8037825059101655,0.9790648988136776
4,0.8541666666666666,0.803921568627451,0.8282828282828283,0.9956386292834891
