metric,value
accuracy,0.6092995169082126
precision_macro,0.6531805556317063
recall_macro,0.6071821798322439
f1_macro,0.5554803275741473
specificity_macro,0.8816739064650486
auroc_macro_ovr,0.8773616476639428
