metric,value
accuracy,0.6086956521739131
precision_macro,0.6573693740647117
recall_macro,0.5856940290874764
f1_macro,0.5900835956806485
specificity_macro,0.8827023011638644
auroc_macro_ovr,0.8369978230265852
