metric,value
accuracy,0.6171497584541062
precision_macro,0.6661600651538976
recall_macro,0.6314887796574832
f1_macro,0.6450004775475678
specificity_macro,0.8928426561364798
auroc_macro_ovr,0.8407872565359777
