metric,value
accuracy,0.6564009661835749
precision_macro,0.6786284234256093
recall_macro,0.6467568489337363
f1_macro,0.6558153990970496
specificity_macro,0.9008922604081857
auroc_macro_ovr,0.8778827801435245
