class,precision,recall,f1,specificity
0,0.66507747318236,0.8732394366197183,0.7550744248985115,0.7236971484759095
1,0.35944700460829493,0.2635135135135135,0.30409356725146197,0.8977941176470589
2,0.6920821114369502,0.5279642058165548,0.5989847715736041,0.913151364764268
3,0.8254716981132075,0.7847533632286996,0.8045977011494253,0.9741800418702024
4,0.851063829787234,0.7843137254901961,0.8163265306122449,0.9956386292834891
